X,Y
‘‘ منجھلے بولے ’’ابا جی یہ ہوا کہ کمندیں کیا ہوتا ہیں۔,‘‘ منجھلے بولے ’’ابا جی یہ ہوا کہ کمندیں کیا ہوتی ہیں۔
‘‘ ابا جان نے کہا’’بیٹے کتابوں میں اسی طرح لکھے ہے۔,‘‘ ابا جان نے کہا’’بیٹے کتابوں میں اسی طرح لکھا ہے۔
کمند ہوا چچا سعدی لکھ گئی ہیں۔,کمند ہوا چچا سعدی لکھ گئے ہیں۔
 مگر ننھی اب بہت بگڑ گیا تھا۔, مگر ننھی اب بہت بگڑ گئی تھی۔
’’ابا جی یہ سعدی کے نام کی ساتھ چچا کیوں لگا دیتے ہیں؟‘‘,’’ابا جی یہ سعدی کے نام کے ساتھ چچا کیوں لگا دیتے ہیں؟‘‘ مگر ننھی اب بہت بگڑ گئی تھی۔
اس نے جواب کی وقت نہ دیا اور بسورنے لگی ’’اوں اوں اوں۔,اس نے جواب کا وقت نہ دیا اور بسورنے لگی ’’اوں اوں اوں۔
کہانی ختم کیو۔,کہانی ختم کیجئے۔
واہ ساری کہانی خراب کردیا۔,واہ ساری کہانی خراب کردی۔
پیرس میں ابراہیم نام کا ایک آدمی اپنی بیوی بچوں کے ساتھ ایک جھونپڑی میں رہتی تھی۔,پیرس میں ابراہیم نام کا ایک آدمی اپنی بیوی بچوں کے ساتھ ایک جھونپڑی میں رہتا تھا۔
وہ ایک معمولی اوقات کی عیال دار تھا۔,وہ ایک معمولی اوقات کا عیال دار تھا۔
اس کی گھر شہر سے دس میل دور تھا۔,اس کا گھر شہر سے دس میل دور تھا۔
اس کی جھونپڑی کے پاس سے ایک پتلی سے سڑک جاتا تھا۔,اس کی جھونپڑی کے پاس سے ایک پتلی سے سڑک جاتی تھی۔
ایک گاؤں سے دوسرے گاؤں کو مسافر اسی سڑک سے آتی جاتی تھی۔,ایک گاؤں سے دوسرے گاؤں کو مسافر اسی سڑک سے آتے جاتے تھے۔
رستے میں آرام کرنے کے لئے اور کوئی جگہ نہ ہونے کے وجہ سے مسافروں کو ابراہیم کادروازہ کھٹکھٹانا پڑتا تھا۔,رستے میں آرام کرنے کے لئے اور کوئی جگہ نہ ہونے کی وجہ سے مسافروں کو ابراہیم کادروازہ کھٹکھٹانا پڑتا تھا۔
بعد میں باقی سب آدمی بھی اس دعا کو دہراتی۔,بعد میں باقی سب آدمی بھی اس دعا کو دہراتے۔
مسافروں کی خدمت کا یہ سلسلہ کئی سال تک جاری رہی۔,مسافروں کی خدمت کا یہ سلسلہ کئی سال تک جاری رہا۔
لیکن سب کی دن سدا ایک سی نہیں رہتے۔,لیکن سب کے دن سدا ایک سے نہیں رہتے۔
زمانے کے پھیر میں پڑکر ابراہیم غریب ہو گئی۔,زمانے کے پھیر میں پڑکر ابراہیم غریب ہو گیا۔
اس پر بھی اس نے مسافروں کو کھانا دینابند کیا۔,اس پر بھی اس نے مسافروں کو کھانا دینابند کیا۔
وہ ایک وقت کا کھانا بچاکر مسافروں کے لئے رکھ دیتے تھا۔,وہ ایک وقت کا کھانا بچاکر مسافروں کے لئے رکھ دیتے تھے۔
وہ اور اس کی بیوی بچے دن میں ایک بار کھانا کھاتے۔,وہ اور اس کے بیوی بچے دن میں ایک بار کھانا کھاتے۔
ایک دن دوپہر کو اس کے دروازے پر ایک تھکا ماندہ بوڑھا آیا۔,ایک دن دوپہر کو اس کے دروازے پر ایک تھکا ماندہ بوڑھا آیا۔
اس کا کمر کمان کی طرح جھک گیا تھا اور کمزوری کے باعث اس کے قدم بھی سیدھے نہیں پڑرہے تھے۔,اس کی کمر کمان کی طرح جھک گئی تھی اورکمزوری کے باعث اس کے قدم بھی سیدھے نہیں پڑرہے تھے۔
اس نے ابراہیم کا دروازہ کھٹکھٹایا  ابراہیم اسے اندر لے گیا اور آگ کے پاس جاکر بیٹھا دی۔,اس نے ابراہیم کا دروازہ کھٹکھٹایا ابراہیم اسے اندر لے گیا اور آگ کے پاس جاکر بیٹھا دیا۔
کچھ دیرآرام کرکے بوڑھا بولی۔,کچھ دیرآرام کرکے بوڑھا بولا۔
’’بیٹا میں بہت دور سی آ رہا ہوں۔,’’بیٹا میں بہت دور سے آ رہا ہوں۔
مجھے بہت بھوک لگ رہا ہے۔,مجھے بہت بھوک لگ رہی ہے۔
اس دعا کو اس کے بیوی بچوں نے اس کی پیچھے کھڑے ہوکر دہرایا۔,اس دعا کو اس کے بیوی بچوں نے اس کے پیچھے کھڑے ہوکر دہرایا۔
ابراہیم نے دیکھا وہ بوڑھا چپ چاپ بیٹھی ہے۔,ابراہیم نے دیکھا وہ بوڑھا چپ چاپ بیٹھا ہے۔
اس پر اس نے بوڑھے سے پوچھی۔,اس پر اس نے بوڑھے سے پوچھا۔
تم نے ہمارے ساتھ دعا کیوں نہیں کیا۔,تم نے ہمارے ساتھ دعا کیوں نہیں کی۔
کیا تم ہمارے مذہب میں یقین نہیں رکھتا؟ ,کیا تم ہمارے مذہب میں یقین نہیں رکھتے؟ 
ہم لوگ آ گ کا پوجا کرتے ہیں۔,’’ہم لوگ آ گ کی پوجا کرتے ہیں۔
‘‘اتناسن کر ابراہیم غصہ سے لال پیلا ہو گیا اور اس نےکہا۔,‘‘اتناسن کر ابراہیم غصے سے لال پیلا ہو گیا اور اس نےکہا۔
‘‘ ابراہیم نے اسے کھانا دیئے بغیر ہی گھر سے باہر نکال دیا اور دروازہ بند کرلی۔,‘‘ ابراہیم نے اسے کھانا دیئے بغیر ہی گھر سے باہر نکال دیا اور دروازہ بند کرلیا۔
مگر دروازہ بند کرتے ہی کمرے میں اچانک روشنی پھیل گیا اورایک فرشتے نے ظاہر ہوکر کہا۔,مگر دروازہ بند کرتے ہی کمرے میں اچانک روشنی پھیل گئی اورایک فرشتے نے ظاہر ہوکر کہا۔
دنیا میں مذہب چاہے بے شمار ہے۔,دنیا میں مذہب چاہے بے شمار ہوں۔
لیکن خدا سب کی سچا خالق ہے اورسب کی وہی ایک مالک ہے۔,لیکن خدا سب کا سچا خالق ہے اورسب کا وہی ایک مالک ہے۔
‘‘ یہ کہہ کر فرشتہ آنکھوں سی اوجھل ہو گیا۔,"‘‘ 

یہ کہہ کر فرشتہ آنکھوں سے اوجھل ہو گیا۔"
بوڑھے نے اسے معاف کرتی ہوئی کہا۔,بوڑھے نے اسے معاف کرتے ہوئے کہا۔
’بیٹا اب توتم سمجھ گئے ہوگے کہ خدا سب کی ایک ہے۔,’بیٹا اب توتم سمجھ گئے ہوگے کہ خدا سب کا ایک ہے۔
‘‘یہ سن کر ابراہیم کو بہت تعجب ہوئی۔,‘‘یہ سن کر ابراہیم کو بہت تعجب ہوا۔
کیونکہ یہی بات اس سے فرشتے نے بھی کہا تھی۔,کیونکہ یہی بات اس سے فرشتے نے بھی کہی تھی۔
ایک دن ایک بوڑھی عورت اپنے کھیت میں سے بند گوبھی توڑنے جا رہا تھا۔,ایک دن ایک بوڑھی عورت اپنے کھیت میں سے بند گوبھی توڑنے جا رہی تھی۔
راستے میں ایک غار پڑ تھا تھا جس میں بارہ آدمی رہتا تھا۔,راستے میں ایک غار پڑ تھا تھا جس میں بارہ آدمی رہتے تھے۔
"انہوں نے بڑھیا کو بلاکر کہا ’’بی اماں، یہ بتاؤ سب سے اچھا کون سی مہینہ ہے؟‘‘ ","انہوں نے بڑھیا کو بلاکر کہا ’’بی اماں، یہ بتاؤ سب سے اچھا کون سا مہینہ ہے؟‘‘ "
دیکھو تو جنوری میں سفید سفید برف گرتا ہے۔,دیکھو تو جنوری میں سفید سفید برف گرتی ہے۔
فروری میں بارش ہوتا ہے اور مارچ میں ہر طرف پھول ہی پھول کھل اٹھتے ہیں۔,فروری میں بارش ہوتی ہے اور مارچ میں ہر طرف پھول ہی پھول کھل اٹھتے ہیں۔
باقی سارے مہینے بھی بہت اچھی ہیں۔,باقی سارے مہینے بھی بہت اچھے ہیں۔
"’’بی اماں، تم نے ہم سب کی تعریف کیا۔","’’بی اماں، تم نے ہم سب کی تعریف کی۔"
اس لیے ہم تمہیں انعام دینا چاہتا ہے۔,اس لیے ہم تمہیں انعام دینا چاہتے ہیں۔
"تم جانتی ہو، ہم ہی بارہ مہینے ہے۔","تم جانتی ہو، ہم ہی بارہ مہینے ہیں۔"
 انہوں نے ٹوکری میں بہت سا سونا بھر کر بڑھیا کو دے دی۔, انہوں نے ٹوکری میں بہت سا سونا بھر کر بڑھیا کو دے دیا۔
بڑھیا نے ان کا شکریہ ادا کیا اور گھر چلا گیا۔,بڑھیا نے ان کا شکریہ ادا کیا اور گھر چلی گئی۔
گھر آکر اس نے اپنے بچوں کو سونا دکھایا اور ان سے کہا ’’اب ہم بہت امیر ہو جائے گا۔,گھر آکر اس نے اپنے بچوں کو سونا دکھایا اور ان سے کہا ’’اب ہم بہت امیر ہو جائیں گے۔
اسی وقت بڑھیا کی ایک ہمسائی وہاں آ گیا۔,اسی وقت بڑھیا کی ایک ہمسائی وہاں آ گئی۔
اس نے سونے کا ڈھیر دیکھا تو اس کی آنکھیں پھٹی کی پھٹی رہ گئی۔,اس نے سونے کا ڈھیر دیکھا تو اس کی آنکھیں پھٹی کی پھٹی رہ گئیں۔
بڑھیا نے بارہ مہینوں کا ساری کہانی ہمسائی کو بھی سنایا۔,بڑھیا نے بارہ مہینوں کی ساری کہانی ہمسائی کو بھی سنائی۔
میں نے کتاب پڑھا,میں نے کتاب پڑھی
وہ بازار جا رہے ہے,وہ بازار جا رہا ہے۔
میری دوست آ رہا ہے,میری دوست آ رہی ہے
کیا آپ نے خانا کھا؟,کیا آپ نے خانا کھایا؟
ہم نے فلم دیکھا,ہم نے فلم دیکھی۔
وہ کتابیں پڑھتا ہیں,وہ کتابیں پڑھتی ہیں
اس نے مجھے بلا۔,اس نے مجھے بلایا
بچے کھیل رہا ہیں,بچے کھیل رہے ہیں
ہماری بلی بھاگ گیا,ہماری بلی بھاگ گئی
 مجھے سردی لگ رہا ہے۔,مجھے سردی لگ رہی ہے
انہوں نے اچھا کام کی۔, انہوں نے اچھا کام کیا۔
میں نے انتظار کی,میں نے انتظار کیا۔
 تمہیں جلدی جانا چاہئے۔,تمہیں جلدی جانا چاہیے
اس نے کہا کہ وہ آئے گی,اس نے کہا کہ وہ آئے گا
بچوں کو پڑھائی کرنا چاہیے,بچوں کو پڑھائی کرنی چاہیے
موسم بہت خوشگوار ہوتا ہے,موسم بہت خوشگوار ہے
کیا تم نے اسے دیکھے ہو,کیا تم نے اسے دیکھا ہے
وہ کتاب پڑھ رہے ہے,وہ کتاب پڑھ رہا ہے
ہم نے کھانا بنا,ہم نے کھانا بنایا۔
کیا تم نے میری بات سنا,کیا تم نے میری بات سنی
میرے دوست کل آئے گا,میرے دوست کل آئیں گے
انہوں نے مجھے دیکھے,انہوں نے مجھے دیکھا
بچے سکول جا رہا ہیں۔,بچے سکول جا رہے ہیں
کیا آپ نے چائے پیا,کیا آپ نے چائے پی؟
میں نے ٹی وی دیکھی,میں نے ٹی وی دیکھا
اس نے مجھے کتاب دیا,اس نے مجھے کتاب دی
وہ میری مدد کر رہی ہے,وہ میری مدد کر رہا ہے
ہم نے کھیل کھیلی,ہم نے کھیل کھیلا
تم کیوں رو رہا ہو,تم کیوں رو رہے ہو
انہوں نے کتاب خریدا,انہوں نے کتاب خریدی
ہمیں جلدی پہنچنے ہے,ہمیں جلدی پہنچنا ہے
میری بہن نے گانا گاے,میری بہن نے گانا گایا
کیا تم نے کھانا کھائ,کیا تم نے کھانا کھایا
میں نے اس کتاب کو پڑھی,میں نے اس کتاب کو پڑھا
اس نے میری بات سمجھا,اس نے میری بات سمجھی
ہم فلم دیکھنے جا رہا ہیں,ہم فلم دیکھنے جا رہے ہیں
تمہیں کھانا کھانی چاہیے,تمہیں کھانا کھانا چاہیے
میں نے اسے خط لکھی,میں نے اسے خط لکھا
اس نے مجھے کہانی سنایا,اس نے مجھے کہانی سنائی
وہ اپنا کام کر رہا ہیں,وہ اپنا کام کر رہی ہیں
کیا آپ نے مجھے یاد کی,کیا آپ نے مجھے یاد کیا
انہوں نے مجھے دوائی دیا,انہوں نے مجھے دوائی دی
وہ ہر دن ورزش کرتا ہیں,وہ ہر دن ورزش کرتے ہیں
تمہیں اب جانے چاہیے,تمہیں اب جانا چاہیے
میں نے اسے اپنی کتاب دیا,میں نے اسے اپنی کتاب دی
وہ اپنے دوست کی گھر گئے,وہ اپنے دوست کے گھر گئے
کیا آپ نے ڈاکٹر سے مشورہ کر دیا,کیا آپ نے ڈاکٹر سے مشورہ کیا
اس نے کھانا بنا,اس نے کھانا بنایا
وہ کتابیں پڑھتا ہے,وہ کتابیں پڑھتی ہے
میں نے اسے کہا کہ وہ جلدی آے,میں نے اسے کہا کہ وہ جلدی آئے
