X,Y
بڑھیا کے ہاتھ میں کشکول دیکھ کر اسے سمجھنے میں دیر نہ لگی کہ وہ لوگ کون تھے۔,بڑھیا کے ہاتھ میں کشکول دیکھ کر اسے سمجھنے میں دیر نہ لگی کہ وہ لوگ کون تھے۔
اس عورت کے چہرے پر دو آنکھوں کی بجائے بدنما سرخ بے نور گڑھے تھے۔,اس عورت کے چہرے پر دو آنکھوں کی بجائے بدنما سرخ بے نور گڑھے تھے۔
خدا جانے کیوں بشریٰ کو جھرجھری سی آ گئی۔,خدا جانے کیوں بشریٰ کو جھرجھری سی آ گئی۔
وہ دوڑ کر اندر آ گئی اور شیشہ اٹھا کر اپنا چہرہ دیکھا۔,وہ دوڑ کر اندر آ گئی اور شیشہ اٹھا کر اپنا چہرہ دیکھا۔
"اپنی آنکھوں کا بڑھیا کی بے نور آنکھوں سے مقابلہ کیا اور یہ سوچ کر اسے تعجب ہوا کہ اس سے پہلے اسے اپنی آنکھیں اتنی خوبصورت، اتنی چمکیلی کیوں نہیں دکھائی دی تھیں؟ وہ برآمدے میں واپس لوٹ آئی۔","اپنی آنکھوں کا بڑھیا کی بے نور آنکھوں سے مقابلہ کیا اور یہ سوچ کر اسے تعجب ہوا کہ اس سے پہلے اسے اپنی آنکھیں اتنی خوبصورت، اتنی چمکیلی کیوں نہیں دکھائی دی تھیں؟ وہ برآمدے میں واپس لوٹ آئی۔"
اس وقت وہ لڑکی جھک کر نیچے سے کچھ اٹھا رہی تھی۔,اس وقت وہ لڑکی جھک کر نیچے سے کچھ اٹھا رہی تھی۔
بشریٰ ککو دیکھتے ہی اس نے گھبرا کر ہاتھ کھینچ لیا۔,بشریٰ ککو دیکھتے ہی اس نے گھبرا کر ہاتھ کھینچ لیا۔
بشریٰ نے جھانک کر دیکھا تو اسے اپنی ٹوٹی ہوئی گڑیا کا اوپر کا دھڑ نظر آیا۔,بشریٰ نے جھانک کر دیکھا تو اسے اپنی ٹوٹی ہوئی گڑیا کا اوپر کا دھڑ نظر آیا۔
‘‘ بشریٰ نے لڑکی سے کہا اور اس نے خوش ہو کر گڑیا کو اٹھا لیا۔,‘‘ بشریٰ نے لڑکی سے کہا اور اس نے خوش ہو کر گڑیا کو اٹھا لیا۔
پھر جب اس نے آنکھیں اٹھا کر دیکھا تو دانتوں سے زبان کاٹ لی بشریٰ اندر چلی گئی۔,پھر جب اس نے آنکھیں اٹھا کر دیکھا تو دانتوں سے زبان کاٹ لی بشریٰ اندر چلی گئی۔
باجی کے پاس سے گزرتے گزرتے بولی ’’باجی اب نیل آنکھیں نہیں چاہئیں۔,باجی کے پاس سے گزرتے گزرتے بولی ’’باجی اب نیل آنکھیں نہیں چاہئیں۔
‘‘ شاید انہوں نے بشریٰ کو برآمدے میں کھڑا دیکھ لیا تھا۔,‘‘ شاید انہوں نے بشریٰ کو برآمدے میں کھڑا دیکھ لیا تھا۔
"کوہ اسے ڈھونڈتی ہوئی جب اسی کے کمرے میں آئیں، تو بشریٰ کو اپنے تمام کھلونے دوبارہ سنوار کر رکھتے ہوئے پایا۔","کوہ اسے ڈھونڈتی ہوئی جب اسی کے کمرے میں آئیں، تو بشریٰ کو اپنے تمام کھلونے دوبارہ سنوار کر رکھتے ہوئے پایا۔"
’’ہم نے کہا تھا نا‘‘ وہ بولیں۔,’’ہم نے کہا تھا نا‘‘ وہ بولیں۔
اور اسی میں خوشی کا راز ہے۔,اور اسی میں خوشی کا راز ہے۔
دو لڑکیاں سمندر کے کنارے ٹہل رہی تھیں۔,دو لڑکیاں سمندر کے کنارے ٹہل رہی تھیں۔
ایک لڑکی چلائی ’’وہ دیکھو سامنے سیپی پڑی ہے۔,ایک لڑکی چلائی ’’وہ دیکھو سامنے سیپی پڑی ہے۔
‘‘ یہ سن کر دوسری لڑکی آگے بڑھی اور اس نے سیپی اٹھا لی۔,‘‘ یہ سن کر دوسری لڑکی آگے بڑھی اور اس نے سیپی اٹھا لی۔
پہلی لڑکی بولی’’تم یہ سیپی نہیں لے سکتیں۔,پہلی لڑکی بولی’’تم یہ سیپی نہیں لے سکتیں۔
یہ میں نے پہلے دیکھی تھی۔,یہ میں نے پہلے دیکھی تھی۔
اس لئے اس پر میرا حق ہے۔,اس لئے اس پر میرا حق ہے۔
اس لئے یہ سیپی میری ہے۔,اس لئے یہ سیپی میری ہے۔
‘‘ دوسری لڑکی نے کہا۔,‘‘ دوسری لڑکی نے کہا۔
دونوں لڑنے لگیں۔,دونوں لڑنے لگیں۔
ایک نے تھپڑ مارا۔,ایک نے تھپڑ مارا۔
دوسری نے لات ٹکائی۔,دوسری نے لات ٹکائی۔
ابھی وہ لڑ ہی رہی تھیں کہ ادھر سے ایک آدمی گزرا۔,ابھی وہ لڑ ہی رہی تھیں کہ ادھر سے ایک آدمی گزرا۔
یہ سیپی میں نے دیکھی تھی۔,یہ سیپی میں نے دیکھی تھی۔
اس لئے یہ میری ہے۔,اس لئے یہ میری ہے۔
‘‘ پہلی لڑکی بولی۔,‘‘ پہلی لڑکی بولی۔
’’لیکن اٹھائی تو میں نے تھی۔,’’لیکن اٹھائی تو میں نے تھی۔
‘‘ دوسری جلدی سے بولی۔,‘‘ دوسری جلدی سے بولی۔
اس آدمی نے کہا ’’مجھے سیپی دکھاؤ میں ابھی فیصلہ کئے دیتا ہوں۔,اس آدمی نے کہا ’’مجھے سیپی دکھاؤ میں ابھی فیصلہ کئے دیتا ہوں۔
اس نے سیپی کے دو ٹکڑے کئے تو اس کے اندر سے موتی نکلا۔,اس نے سیپی کے دو ٹکڑے کئے تو اس کے اندر سے موتی نکلا۔
اس لئے اس پر دونوں کا حق ہے۔,اس لئے اس پر دونوں کا حق ہے۔
"لو، ایک ٹکڑا تم لے لو اور ایک تم۔","لو، ایک ٹکڑا تم لے لو اور ایک تم۔"
لڑکیاں ہاتھ ملتی رہ گئیں۔,لڑکیاں ہاتھ ملتی رہ گئیں۔
ایک مکھی بیٹھی اپنا گھر لیپ رہی تھی۔,ایک مکھی بیٹھی اپنا گھر لیپ رہی تھی۔
گھر لیپتے لیپتے اپنا نام بھول گئیں۔,گھر لیپتے لیپتے اپنا نام بھول گئیں۔
گھر لیپتے لیپتے لیپتے جو انہیں اپنے نام کا خیال آیا۔,گھر لیپتے لیپتے لیپتے جو انہیں اپنے نام کا خیال آیا۔
تو گئیں ہمسائی کے ہاں۔,تو گئیں ہمسائی کے ہاں۔
ہمسائی سے جاکر کہا۔,ہمسائی سے جاکر کہا۔
بی ہمسائی بی ہمسائی میرا نام بتاؤ۔,بی ہمسائی بی ہمسائی میرا نام بتاؤ۔
اس نے کہا۔,اس نے کہا۔
بوا میں نہیں جانتی۔,بوا میں نہیں جانتی۔
میرے گھر میں جو بچھیا ہے۔,میرے گھر میں جو بچھیا ہے۔
وہ جانتی ہے۔,وہ جانتی ہے۔
مکھی گئیں بچھیا کے پاس۔,مکھی گئیں بچھیا کے پاس۔
کہ ہمسائی ہمسائی کی بچھیا میرا نام بتا۔,کہ ہمسائی ہمسائی کی بچھیا میرا نام بتا۔
کہا میں تو نہیں جانتی۔,کہا میں تو نہیں جانتی۔
میری گائے جانتی ہے۔,میری گائے جانتی ہے۔
گئیں گائے کے پاس۔,گئیں گائے کے پاس۔
کہ ہمسائی۔,کہ ہمسائی۔
ہمسائی کی بچھیا۔,ہمسائی کی بچھیا۔
بچھیا کی گائے۔,بچھیا کی گائے۔
میرا نام بتا۔,میرا نام بتا۔
کہا میں تو نہیں جانتی۔,کہا میں تو نہیں جانتی۔
میرا چریا جانتا ہے۔,میرا چریا جانتا ہے۔
گئیں چریے کے پاس۔,گئیں چریے کے پاس۔
میرے ہاتھ میں جو سونٹا رہتا ہے وہ جانتا ہے۔,میرے ہاتھ میں جو سونٹا رہتا ہے وہ جانتا ہے۔
گئیں سونٹے کے پاس۔,گئیں سونٹے کے پاس۔
کہ ہمسائی۔,کہ ہمسائی۔
ہمسائی کی بچھیا۔,ہمسائی کی بچھیا۔
بچھیا کی گائے۔,بچھیا کی گائے۔
گائے کے چریے۔,گائے کے چریے۔
چریے کے سونٹے میرا نام بتا۔,چریے کے سونٹے میرا نام بتا۔
سونٹے نے کہا۔,سونٹے نے کہا۔
میں تو نہیں جانتا۔,میں تو نہیں جانتا۔
میں جس درخت میں سے کٹ کے آیا ہوں۔,میں جس درخت میں سے کٹ کے آیا ہوں۔
وہ جانتا ہے۔,وہ جانتا ہے۔
درخت نے کہا میں تو نہیں جانتا۔,درخت نے کہا میں تو نہیں جانتا۔
میرے اوپر جو چڑیا بیٹھتی ہے۔,میرے اوپر جو چڑیا بیٹھتی ہے۔
وہ جانتی ہے۔,وہ جانتی ہے۔
گئیں چڑیا کے پاس۔,گئیں چڑیا کے پاس۔
میرا نام بتا۔,میرا نام بتا۔
چڑیا نے کہا میں تو نہیں جانتی میں جس دریا میں پانی پیتی ہوں۔,چڑیا نے کہا میں تو نہیں جانتی میں جس دریا میں پانی پیتی ہوں۔
وہ جانتا ہے۔,وہ جانتا ہے۔
گئیں دریا کے پاس۔,گئیں دریا کے پاس۔
کہ ہمسائی۔,کہ ہمسائی۔
ہمسائی کی بچھیا۔,ہمسائی کی بچھیا۔
بچھیا کی گائے۔,بچھیا کی گائے۔
گائے کے چریے کے سونٹے سونٹے کے درخت۔,گائے کے چریے کے سونٹے سونٹے کے درخت۔
درخت کی چڑیا۔,درخت کی چڑیا۔
چڑیا کے دریا۔,چڑیا کے دریا۔
میرا نام بتا۔,میرا نام بتا۔
دریا نے کہا میں تو نہیں جانتا۔,دریا نے کہا میں تو نہیں جانتا۔
مجھ میں جو مچھلی ہے۔,مجھ میں جو مچھلی ہے۔
وہ جانتی ہے۔,وہ جانتی ہے۔
گئیں مچھلی کے پاس۔,گئیں مچھلی کے پاس۔
کہ ہمسائی۔,کہ ہمسائی۔
ہمسائی کی بچھیا۔,ہمسائی کی بچھیا۔
بچھیا کی گائے۔,بچھیا کی گائے۔
گائے کے چریے۔,گائے کے چریے۔
چریے کے سونٹے۔,چریے کے سونٹے۔
سونٹے کے درخت۔,سونٹے کے درخت۔
درخت کی چڑیا۔,درخت کی چڑیا۔
چڑیا کے دریا۔,چڑیا کے دریا۔
دریا کی مچھلی۔,دریا کی مچھلی۔
میرا نام بتا۔,میرا نام بتا۔
مچھلی نے کہا۔,مچھلی نے کہا۔
میں تو نہیں جانتی۔,میں تو نہیں جانتی۔
مجھے جو پکڑتا ہے۔,مجھے جو پکڑتا ہے۔
میرا دھینور جانتا ہے۔,میرا دھینور جانتا ہے۔
گئیں دھینور کے پاس۔,گئیں دھینور کے پاس۔
کہ ہمسائی۔,کہ ہمسائی۔
ہمسائی کی بچھیا۔,ہمسائی کی بچھیا۔
بچھیا کی گائے۔,بچھیا کی گائے۔
گائے کے چریے۔,گائے کے چریے۔
چریے کے سونٹے۔,چریے کے سونٹے۔
سونٹے کے درخت۔,سونٹے کے درخت۔
درخت کی چڑیا۔,درخت کی چڑیا۔
چڑیا کے دریا۔,چڑیا کے دریا۔
دریا کی مچھلی۔,دریا کی مچھلی۔
مچھلی کے دھینور۔,مچھلی کے دھینور۔
میرا نام بتا۔,میرا نام بتا۔
اس نے کہا: چل گوہ کی مکھی! تیرا نام یہی ہے۔,اس نے کہا: چل گوہ کی مکھی! تیرا نام یہی ہے۔
کہ تو بھیں بھیں کرتی ہے۔,کہ تو بھیں بھیں کرتی ہے۔
مکھی وہاں سے آکر پھر گھر لیپنے لگی۔,مکھی وہاں سے آکر پھر گھر لیپنے لگی۔
۔,۔
ننھے بھائی بالکل ننھے نہیں بلکہ سب سے زیادہ قد آور اور سوائے آپا کے سب سے بڑے ہیں۔,ننھے بھائی بالکل ننھے نہیں بلکہ سب سے زیادہ قد آور اور سوائے آپا کے سب سے بڑے ہیں۔
ننھے بھائی آئے دن نت نئے طریقوں سے ہم لوگوں کو الو بنایا کرتے تھے۔,ننھے بھائی آئے دن نت نئے طریقوں سے ہم لوگوں کو الو بنایا کرتے تھے۔
"ایک کہنے لگے، ’’چمڑا کھاؤگی؟‘‘ 

ہم نے کہا، ’’نہیں تھو! ہم تو چمڑا نہیں کھاتے۔","ایک کہنے لگے، ’’چمڑا کھاؤگی؟‘‘ 

ہم نے کہا، ’’نہیں تھو! ہم تو چمڑا نہیں کھاتے۔"
"‘‘ 

’’مت کھاؤ!‘‘ یہ کہہ کر چمڑے کا ایک ٹکڑا منہ میں رکھ لیا اور مزے مزے سے کھانے لگے۔","‘‘ 

’’مت کھاؤ!‘‘ یہ کہہ کر چمڑے کا ایک ٹکڑا منہ میں رکھ لیا اور مزے مزے سے کھانے لگے۔"
اب تو ہم بڑے چکرائے۔,اب تو ہم بڑے چکرائے۔
ڈرتے ڈرتے ذرا سا چمڑا لے کر ہم نے زبان لگائی۔,ڈرتے ڈرتے ذرا سا چمڑا لے کر ہم نے زبان لگائی۔
"ارے واہ، کیا مزے دار چمڑا تھا، کھٹا میٹھا۔","ارے واہ، کیا مزے دار چمڑا تھا، کھٹا میٹھا۔"
"ہم نے پوچھا، ’’کہاں سے لائے ننھے بھائی؟‘‘ 

انہوں نے بتایا، ’’ہمارا جوتا پرانا ہو گیا تھا، وہی کاٹ ڈالا۔","ہم نے پوچھا، ’’کہاں سے لائے ننھے بھائی؟‘‘ 

انہوں نے بتایا، ’’ہمارا جوتا پرانا ہو گیا تھا، وہی کاٹ ڈالا۔"
"‘‘ 

جھٹ ہم نے اپنا جوتا چکھنے کی کوشش کی۔","‘‘ 

جھٹ ہم نے اپنا جوتا چکھنے کی کوشش کی۔"
"آخ تھو، توبہ مارے سڑاند کے ناک اڑ گئی۔","آخ تھو، توبہ مارے سڑاند کے ناک اڑ گئی۔"
’’ارے بےوقوف! یہ کیا کر رہی ہو؟ تمہارے جوتے کا چمڑا اچھا نہیں ہے اور یہ ہے بڑا گندا۔,’’ارے بےوقوف! یہ کیا کر رہی ہو؟ تمہارے جوتے کا چمڑا اچھا نہیں ہے اور یہ ہے بڑا گندا۔
"آپا کی جو نئی گرگابی ہے نا، اسے کاٹو تو اندر سے میٹھا میٹھا چمڑا نکلےگا۔","آپا کی جو نئی گرگابی ہے نا، اسے کاٹو تو اندر سے میٹھا میٹھا چمڑا نکلےگا۔"
‘‘ ننھے بھائی نے ہمیں رائے دی۔,‘‘ ننھے بھائی نے ہمیں رائے دی۔
اور بس اس دن سے ہم نے گرگابی کو گلاب جامن سمجھ کر تاڑنا شروع کر دیا۔,اور بس اس دن سے ہم نے گرگابی کو گلاب جامن سمجھ کر تاڑنا شروع کر دیا۔
دیکھتے ہی منہ میں پانی بھر آتا۔,دیکھتے ہی منہ میں پانی بھر آتا۔
عید کا دن تھا۔,عید کا دن تھا۔
"آپا اپنی حسین اور مہ جبین گرگابی پہنے، پائنچے پھڑکاتی، سویاں بانٹ رہی تھیں۔","آپا اپنی حسین اور مہ جبین گرگابی پہنے، پائنچے پھڑکاتی، سویاں بانٹ رہی تھیں۔"
"آپا ظہر کی نماز پڑھنے جونہی کھڑی ہوئیں، ننھے میاں نے ہمیں اشارہ کیا۔","آپا ظہر کی نماز پڑھنے جونہی کھڑی ہوئیں، ننھے میاں نے ہمیں اشارہ کیا۔"
"’’اب موقع ہے، آپا نیت توڑ نہیں سکیں گی۔","’’اب موقع ہے، آپا نیت توڑ نہیں سکیں گی۔"
"‘‘ 

’’مگر کاٹیں کاہے سے؟‘‘ ہم نے پوچھا۔","‘‘ 

’’مگر کاٹیں کاہے سے؟‘‘ ہم نے پوچھا۔"
’’آپا کی صندوقچی سے سلمہ ستارہ کاٹنے کی قینچی نکال لاؤ۔,’’آپا کی صندوقچی سے سلمہ ستارہ کاٹنے کی قینچی نکال لاؤ۔
"‘‘ 

ہم نے جونہی گرگابی کا بھورا ملائم چمڑا کاٹ کر اپنے منہ میں رکھا، ہمارے سر پر جھٹ چپلیں پڑیں۔","‘‘ 

ہم نے جونہی گرگابی کا بھورا ملائم چمڑا کاٹ کر اپنے منہ میں رکھا، ہمارے سر پر جھٹ چپلیں پڑیں۔"
"پہلے تو آپا نے ہماری اچھی طرح کندی کی، پھر پوچھا ’’یہ کیا کر رہی ہے؟‘‘ 

’’کھا رہے ہیں۔","پہلے تو آپا نے ہماری اچھی طرح کندی کی، پھر پوچھا ’’یہ کیا کر رہی ہے؟‘‘ 

’’کھا رہے ہیں۔"
‘‘ ہم نے نہایت مسکین صورت بنا کر بتایا۔,‘‘ ہم نے نہایت مسکین صورت بنا کر بتایا۔
یہ کہنا تھا سارا گھر ہمارے پیچھے ہاتھ دھو کر پڑ گیا۔,یہ کہنا تھا سارا گھر ہمارے پیچھے ہاتھ دھو کر پڑ گیا۔
ہماری تکا بوٹی ہو رہی تھی کہ ابا میاں آ گئے۔,ہماری تکا بوٹی ہو رہی تھی کہ ابا میاں آ گئے۔
"مجسٹریٹ تھے، فوراً مقدمہ مع مجرمہ اور مقتول گرگابی کے روتی پیٹتی آپا نے پیش کیا۔","مجسٹریٹ تھے، فوراً مقدمہ مع مجرمہ اور مقتول گرگابی کے روتی پیٹتی آپا نے پیش کیا۔"
ابا میاں حیران رہ گئے۔,ابا میاں حیران رہ گئے۔
ادھر ننھے بھائی مارے ہنسی کے قلابازیاں کھا رہے تھے۔,ادھر ننھے بھائی مارے ہنسی کے قلابازیاں کھا رہے تھے۔
"ابا میاں نہایت غمگین آواز میں بولے، ’’سچ بتاؤ، جوتا کھارہی تھی؟‘‘ 

’’ہاں۔","ابا میاں نہایت غمگین آواز میں بولے، ’’سچ بتاؤ، جوتا کھارہی تھی؟‘‘ 

’’ہاں۔"
‘‘ ہم نے روتے ہوئے اقبال جرم کیا۔,‘‘ ہم نے روتے ہوئے اقبال جرم کیا۔
"’’کیوں؟‘‘ 

’’میٹھا ہوتا ہے۔","’’کیوں؟‘‘ 

’’میٹھا ہوتا ہے۔"
"‘‘ 

’’جوتا میٹھا ہوتا ہے؟‘‘ 

’’ہاں۔","‘‘ 

’’جوتا میٹھا ہوتا ہے؟‘‘ 

’’ہاں۔"
‘‘ ہم پھر رینکے۔,‘‘ ہم پھر رینکے۔
’’یہ کیا بک رہی ہے بیگم؟‘‘ انہوں نے فکر مند ہو کر اماں کی طرف دیکھا۔,’’یہ کیا بک رہی ہے بیگم؟‘‘ انہوں نے فکر مند ہو کر اماں کی طرف دیکھا۔
اماں منہ بسور کر کہنے لگیں۔,اماں منہ بسور کر کہنے لگیں۔
"’’یا خدا! ایک تو لڑکی ذات، دوسرے جوتے کھانے کا چسکا پڑگیا تو کون قبولےگا۔","’’یا خدا! ایک تو لڑکی ذات، دوسرے جوتے کھانے کا چسکا پڑگیا تو کون قبولےگا۔"
"‘‘ 

ہم نے لاکھ سمجھانے کی کوشش کی کہ بھئی چمڑا سچ میں بہت میٹھا ہوتا ہے۔","‘‘ 

ہم نے لاکھ سمجھانے کی کوشش کی کہ بھئی چمڑا سچ میں بہت میٹھا ہوتا ہے۔"
"ننھے بھائی نے ہمیں ایک دن کھلایا تھا، مگر کون سنتا تھا۔","ننھے بھائی نے ہمیں ایک دن کھلایا تھا، مگر کون سنتا تھا۔"
’’جھوٹی ہے۔,’’جھوٹی ہے۔
‘‘ ننھے بھائی صاف مکر گئے۔,‘‘ ننھے بھائی صاف مکر گئے۔
بہت دنوں تک یہ معمہ کسی کی سمجھ میں نہ آیا۔,بہت دنوں تک یہ معمہ کسی کی سمجھ میں نہ آیا۔
خود ہماری عقل گم تھی کہ ننھے بھائی کے جوتے کا چمڑا کیسا تھا جو اتنا لذیذ تھا۔,خود ہماری عقل گم تھی کہ ننھے بھائی کے جوتے کا چمڑا کیسا تھا جو اتنا لذیذ تھا۔
اور پھر ایک دن خالہ بی دوسرے شہر سے آئیں۔,اور پھر ایک دن خالہ بی دوسرے شہر سے آئیں۔
بقچیہ کھول کر انہوں نے پتوں میں لپٹا چمڑا نکالا اور سب کو بانٹا۔,بقچیہ کھول کر انہوں نے پتوں میں لپٹا چمڑا نکالا اور سب کو بانٹا۔
سب نے مزے مزے سے کھایا۔,سب نے مزے مزے سے کھایا۔
"ہم کبھی انہیں دیکھتے، کبھی چمڑے کے ٹکڑے کو۔","ہم کبھی انہیں دیکھتے، کبھی چمڑے کے ٹکڑے کو۔"
"تب ہمیں معلوم ہوا کہ جسے ہم چمڑا سمجھتے تھے، وہ آم کا گودا تھا۔","تب ہمیں معلوم ہوا کہ جسے ہم چمڑا سمجھتے تھے، وہ آم کا گودا تھا۔"
کسی ظالم نے آم کے گودے کو سکھا کر اور لال چمڑے کی شکل کی یہ ناہنجار مٹھائی بنا کر ہمیں جوتے کھلوائے۔,کسی ظالم نے آم کے گودے کو سکھا کر اور لال چمڑے کی شکل کی یہ ناہنجار مٹھائی بنا کر ہمیں جوتے کھلوائے۔
۔,۔
"جب میں اپنے استادوں کا تصور کرتا ہوں تو میرے ذہن کے پردے پر کچھ ایسے لوگ ابھرتے ہیں جو بہت دلچسپ، مہربان، پڑھے لکھے اور ذہین ہیں اور ساتھ ہی میرے محسن بھی ہیں۔","جب میں اپنے استادوں کا تصور کرتا ہوں تو میرے ذہن کے پردے پر کچھ ایسے لوگ ابھرتے ہیں جو بہت دلچسپ، مہربان، پڑھے لکھے اور ذہین ہیں اور ساتھ ہی میرے محسن بھی ہیں۔"
ان میں سے کچھ کا خیال کر کے مجھے ہنسی بھی آتی ہے اور ان پر پیار بھی آتا ہے۔,ان میں سے کچھ کا خیال کر کے مجھے ہنسی بھی آتی ہے اور ان پر پیار بھی آتا ہے۔
اب میں باری باری ان کا ذکر کروں گا۔,اب میں باری باری ان کا ذکر کروں گا۔
جب میں باغ ہالار اسکول (کراچی) میں کے جی کلاس میں پڑھتا تھا تو مس نگہت ہماری استانی تھیں۔,جب میں باغ ہالار اسکول (کراچی) میں کے جی کلاس میں پڑھتا تھا تو مس نگہت ہماری استانی تھیں۔
مار پیٹ کے بجائے بہت پیار سے پڑھاتی تھیں۔,مار پیٹ کے بجائے بہت پیار سے پڑھاتی تھیں۔
صفائی پسند اتنی تھی کہ گندگی دیکھ کر انہیں غصہ آ جاتا تھا اور کسی بچے کے گندے کپڑے یا بڑھے ہوئے ناخن دیکھ کر اس کی ہلکی پھلکی پٹائی بھی کردیتی تھیں۔,صفائی پسند اتنی تھی کہ گندگی دیکھ کر انہیں غصہ آ جاتا تھا اور کسی بچے کے گندے کپڑے یا بڑھے ہوئے ناخن دیکھ کر اس کی ہلکی پھلکی پٹائی بھی کردیتی تھیں۔
مجھے اب تک یاد ہے کہ ایک دفعہ میرے ناخن بڑھے ہوئے تھے اور ان میں میل جمع تھا۔,مجھے اب تک یاد ہے کہ ایک دفعہ میرے ناخن بڑھے ہوئے تھے اور ان میں میل جمع تھا۔
مس نگہت نے میرے ناخنوں پر پیمانے سے (جسے آپ اسکیل یا فٹا کہتے ہیں) مارا۔,مس نگہت نے میرے ناخنوں پر پیمانے سے (جسے آپ اسکیل یا فٹا کہتے ہیں) مارا۔
چوٹ ہلکی تھی لیکن اس دن میں بہت رویا۔,چوٹ ہلکی تھی لیکن اس دن میں بہت رویا۔
لیکن مس نگہت نے گندے اور بڑھے ہوئے ناخنوں کے جو نقصان بتائے وہ مجھے اب تک یاد ہیں اور اب میں جب بھی اپنے بڑھے ہوئے ناخن دیکھتا ہوں تو مجھے مس نگہت یاد آ جاتی ہیں اور میں فوراً ناخن کاٹنے بیٹھ جاتا ہوں۔,لیکن مس نگہت نے گندے اور بڑھے ہوئے ناخنوں کے جو نقصان بتائے وہ مجھے اب تک یاد ہیں اور اب میں جب بھی اپنے بڑھے ہوئے ناخن دیکھتا ہوں تو مجھے مس نگہت یاد آ جاتی ہیں اور میں فوراً ناخن کاٹنے بیٹھ جاتا ہوں۔
"پہلی جماعت میں پہنچا تو مس سردار ہماری استانی تھیں، لیکن وہ جلد ہی چلی گئیں اور ان کی جگہ مس نسیم آئیں جو استانی کم اور جلاد زیادہ تھیں۔","پہلی جماعت میں پہنچا تو مس سردار ہماری استانی تھیں، لیکن وہ جلد ہی چلی گئیں اور ان کی جگہ مس نسیم آئیں جو استانی کم اور جلاد زیادہ تھیں۔"
بچوں کی اس طرح دھنائی کرتی تھیں جیسے دھنیا روئی دھنتا ہے۔,بچوں کی اس طرح دھنائی کرتی تھیں جیسے دھنیا روئی دھنتا ہے۔
"ایسی سخت مار پیٹ کرتی تھیں کہ انسان کو پرھائی سے، اسکول سے اور کتابوں سے ہمیشہ کے لئے نفرت ہو جائے۔","ایسی سخت مار پیٹ کرتی تھیں کہ انسان کو پرھائی سے، اسکول سے اور کتابوں سے ہمیشہ کے لئے نفرت ہو جائے۔"
جو استاد اور استانیاں یہ تحریر پڑھ رہے ہیں ان سے میں درخواست کرتا ہوں کہ بچوں کو مار پیٹ کر نہ پڑھایا کریں۔,جو استاد اور استانیاں یہ تحریر پڑھ رہے ہیں ان سے میں درخواست کرتا ہوں کہ بچوں کو مار پیٹ کر نہ پڑھایا کریں۔
بہت ضروری ہو تو ڈانٹ ڈپٹ کر لیا کریں۔,بہت ضروری ہو تو ڈانٹ ڈپٹ کر لیا کریں۔
اس تحریر کو پڑھنے والے جو بچے اور بچیاں بڑے ہو کر استاد اور استانیاں بنیں وہ بھی یاد رکھیں کہ مار پیٹ سے بچے پڑھتے نہیں بلکہ پرھائی سے بھاگتے ہیں۔,اس تحریر کو پڑھنے والے جو بچے اور بچیاں بڑے ہو کر استاد اور استانیاں بنیں وہ بھی یاد رکھیں کہ مار پیٹ سے بچے پڑھتے نہیں بلکہ پرھائی سے بھاگتے ہیں۔
بچوں کو تعلیم سے بیزار کرنے میں پٹائی کا بڑا ہاتھ ہوتا ہے۔,بچوں کو تعلیم سے بیزار کرنے میں پٹائی کا بڑا ہاتھ ہوتا ہے۔
"ہاں کبھی کبھار منہ کا ذائقہ بدلنے کے لئے ایک آدھ ہلکا پھلکا تھپڑ پڑ جائے تو کوئی حرج نہیں، لیکن اچھے بچوں کو اس کی کبھی ضرورت نہیں پڑتی۔","ہاں کبھی کبھار منہ کا ذائقہ بدلنے کے لئے ایک آدھ ہلکا پھلکا تھپڑ پڑ جائے تو کوئی حرج نہیں، لیکن اچھے بچوں کو اس کی کبھی ضرورت نہیں پڑتی۔"
"اس کے بعد کی جماعتوں میں پڑھانے والے جو استاد مجھے یاد آتے ہیں، ان میں سے ایک ضیا صاحب ہیں جو چھٹی جماعت میں ہمیں اردو پڑھاتے تھے۔","اس کے بعد کی جماعتوں میں پڑھانے والے جو استاد مجھے یاد آتے ہیں، ان میں سے ایک ضیا صاحب ہیں جو چھٹی جماعت میں ہمیں اردو پڑھاتے تھے۔"
اگرچہ ضیا صاحب ہر وقت اپنے ساتھ ایک لچکیلا بیدر رکھتے تھے لیکن اس کا استعمال کم ہی کرتے تھے۔,اگرچہ ضیا صاحب ہر وقت اپنے ساتھ ایک لچکیلا بیدر رکھتے تھے لیکن اس کا استعمال کم ہی کرتے تھے۔
انہوں نے میری اردو کا تلفظ صحیح کرنے میں بہت مدد دی۔,انہوں نے میری اردو کا تلفظ صحیح کرنے میں بہت مدد دی۔
انہوں نے اردو سکھاتے اور پرھتاے ہوئے کئی کام کی باتیں بتائیں جن سے میں نے بعد میں بھی فائدہ اٹھایا۔,انہوں نے اردو سکھاتے اور پرھتاے ہوئے کئی کام کی باتیں بتائیں جن سے میں نے بعد میں بھی فائدہ اٹھایا۔
ضیا صاحب ہوم ورک کے طور پر ایک صفحہ روزانہ خوش خط لکھنے کو کہتے تھے۔,ضیا صاحب ہوم ورک کے طور پر ایک صفحہ روزانہ خوش خط لکھنے کو کہتے تھے۔
